FORMULARIO,,,DIGNIDAD,LISTA,PARTIDO,,,PROVINCIA,CIRCUNSCRIPCIÓN,NOMBRE,NOMBRE DE PAPELETA,ORDEN,RESOLUCIÓN,FECHA DE CALIFICACIÓN
8,,,ASAMBLEISTAS PROVINCIALES,18,MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK,,,IMBABURA                                          ,,RUIZ JACOME MARIO FERNANDO,RUIZ JACOME MARIO FERNANDO,1,RESOLUCIÓN N°0005-PLE-JPEIMBABURA-04-10-2020 FE ,10/4/20 0:00
8,,,ASAMBLEISTAS PROVINCIALES,18,MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK,,,IMBABURA                                          ,,JARA ANDRADE CRISTINA STEPHANIA,STEPHANIA JARA ANDRADE,2,RESOLUCIÓN N°0005-PLE-JPEIMBABURA-04-10-2020 FE ,10/4/20 0:00
8,,,ASAMBLEISTAS PROVINCIALES,18,MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK,,,IMBABURA                                          ,,YAMBERLA MORAN MARIA VENANCIA,YAMBERLA MORAN MARIA VENANCIA,4,RESOLUCIÓN N°0005-PLE-JPEIMBABURA-04-10-2020 FE ,10/4/20 0:00
8,,,ASAMBLEISTAS PROVINCIALES,18,MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK,,,IMBABURA                                          ,,TROYA MORENO JOSE ROBERTO,TROYA MORENO JOSE ROBERTO,3,RESOLUCIÓN N°0005-PLE-JPEIMBABURA-04-10-2020 FE ,10/4/20 0:00
9,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,2,PARTIDO UNIDAD POPULAR,,,MANABI                                            ,CIRCUNSCRIPCIÓN 1 - NORTE,PAZMIÑO BASURTO ALEIDA LISETH,ALEIDA PAZMIÑO,3,JPEM-0000009-09-10-2020,10/9/20 0:00
9,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,2,PARTIDO UNIDAD POPULAR,,,MANABI                                            ,CIRCUNSCRIPCIÓN 1 - NORTE,VELEZ BARBERAN JINA JANETH,JINA VELEZ,1,JPEM-0000009-09-10-2020,10/9/20 0:00
9,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,2,PARTIDO UNIDAD POPULAR,,,MANABI                                            ,CIRCUNSCRIPCIÓN 1 - NORTE,ZAMBRANO VEGA JOSE RODRIGO,RODRIGO ZAMBRANO,4,JPEM-0000009-09-10-2020,10/9/20 0:00
9,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,2,PARTIDO UNIDAD POPULAR,,,MANABI                                            ,CIRCUNSCRIPCIÓN 1 - NORTE,BRAVO BRAVO KELVIN ENRIQUE,KELVIN BRAVO,2,JPEM-0000009-09-10-2020,10/9/20 0:00
10,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,IMBABURA                                          ,,CEVALLOS MORENO JOMAR JOSE EFREN,JOMAR CEVALLOS,1,Nº0007-PLE-JPEIMBABURA-07-10-2020,10/7/20 0:00
10,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,IMBABURA                                          ,,MUENALA CUSHCAGUA NINA PACARI,NINA MUENALA,4,Nº0007-PLE-JPEIMBABURA-07-10-2020,10/7/20 0:00
10,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,IMBABURA                                          ,,GUATEMAL CADENA HENRY IVAN,HENRY GUATEMAL,3,Nº0007-PLE-JPEIMBABURA-07-10-2020,10/7/20 0:00
10,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,IMBABURA                                          ,,CADENA TERAN JIMENA DE LOS ANGELES,JIMENA CADENA,2,Nº0007-PLE-JPEIMBABURA-07-10-2020,10/7/20 0:00
12,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,EL ORO                                            ,,LOAYZA SAMANIEGO VERONICA DE JESUS,VERONICA LOAYZA SAMANIEGO,5,JPLE-JPEORO-013-10-2020-PERM,10/10/20 0:00
12,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,EL ORO                                            ,,GONZALEZ CABRERA JESSICA MAYRA,JESSICA GONZALEZ CABRERA,1,JPLE-JPEORO-013-10-2020-PERM,10/10/20 0:00
12,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,EL ORO                                            ,,JIMENEZ JIMENEZ GALO EFRAIN,GALO JIMENEZ JIMENEZ,4,JPLE-JPEORO-013-10-2020-PERM,10/10/20 0:00
12,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,EL ORO                                            ,,LEON DELGADO LADY BRIGGITHE,LADY LEON DELGADO,3,JPLE-JPEORO-013-10-2020-PERM,10/10/20 0:00
12,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,EL ORO                                            ,,TORRES CARRION ULBIO MARIA,ULBIO TORRES CARRION,2,JPLE-JPEORO-013-10-2020-PERM,10/10/20 0:00
13,,,ASAMBLEISTAS POR EL EXTERIOR,18,MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK,,,EUROPA ASIA Y OCEANIA                             ,,CADME CATAGÑA ALESSI MARTIN,MARTIN CADME,2,PLE-JEE-3-01-12-2020-P-IC ,9/29/20 0:00
13,,,ASAMBLEISTAS POR EL EXTERIOR,18,MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK,,,EUROPA ASIA Y OCEANIA                             ,,QUINATOA ARIAS AIDA MARIA,AIDA QUINATOA,1,PLE-JEE-3-01-12-2020-P-IC ,9/29/20 0:00
15,,,ASAMBLEISTAS PROVINCIALES,6,PARTIDO SOCIAL CRISTIANO,,,MORONA SANTIAGO                                   ,,BARRIGA PARRA JORGE WASHINGTON,JORGE BARRIGA,1,PLE-JPE-MS-6-9-10-2020,10/9/20 0:00
15,,,ASAMBLEISTAS PROVINCIALES,6,PARTIDO SOCIAL CRISTIANO,,,MORONA SANTIAGO                                   ,,ZABALA VINUEZA ALEXANDRA ELIZABETH,ALEXANDRA ZABALA,2,PLE-JPE-MS-6-9-10-2020,10/9/20 0:00
16,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,COTOPAXI                                          ,,PAZMIÑO HERRERA ANTHONNY VINICIO,ANTHONNY PAZMIÑO HERRERA,2,PLE-JPECX-1-3-10-2020,10/3/20 0:00
16,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,COTOPAXI                                          ,,PALACIOS BARRIGA ENMA ROSANA,ROSANA PALACIOS BARRIGA,1,PLE-JPECX-1-3-10-2020,10/3/20 0:00
16,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,COTOPAXI                                          ,,LOPEZ QUISPE MAURICIO ORLANDO,MAURICIO LOPEZ QUISPE,4,PLE-JPECX-1-3-10-2020,10/3/20 0:00
16,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,COTOPAXI                                          ,,REYEZ ZAMBRANO SUSANA JESSENIA,SUSANA REYEZ ZAMBRANO,3,PLE-JPECX-1-3-10-2020,10/3/20 0:00
17,,,ASAMBLEISTAS PROVINCIALES,77,MOVIMIENTO  ACUERDO CIUDADANO,,,SUCUMBIOS                                         ,,SANCHEZ MENDOZA NATHALY ALONDRA,NATHALY SANCHEZ,2,PLE-JPES-004-2020,9/25/20 17:00
17,,,ASAMBLEISTAS PROVINCIALES,77,MOVIMIENTO  ACUERDO CIUDADANO,,,SUCUMBIOS                                         ,,GUAMAN RIVERA AUGUSTO ALEJANDRO,AUGUSTO GUAMAN RIVERA,1,PLE-JPES-004-2020,9/25/20 17:00
17,,,ASAMBLEISTAS PROVINCIALES,77,MOVIMIENTO  ACUERDO CIUDADANO,,,SUCUMBIOS                                         ,,BAYAS TIÑE STALIN EFRAIN,STALIN BAYAS,3,PLE-JPES-004-2020,9/25/20 17:00
19,,,ASAMBLEISTAS PROVINCIALES,18,MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK,,,SUCUMBIOS                                         ,,QUITO JIMENEZ PAULINA DEL CISNE,PAULINA QUITO,2,PLE-JPES-013-08-10-2020,10/8/20 18:52
19,,,ASAMBLEISTAS PROVINCIALES,18,MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK,,,SUCUMBIOS                                         ,,QUEZADA PATIÑO EDGAR PATRICIO,EDGAR QUEZADA,1,PLE-JPES-013-08-10-2020,10/8/20 18:52
19,,,ASAMBLEISTAS PROVINCIALES,18,MOVIMIENTO DE UNIDAD PLURINACIONAL PACHAKUTIK,,,SUCUMBIOS                                         ,,NOTENO URAPARI FRANCISCO ANSELMO,FRANCISCO NOTENO,3,PLE-JPES-013-08-10-2020,10/8/20 18:52
23,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,SUCUMBIOS                                         ,,CONDOY UYAGUARI IGNACIO INES,IGNACIO CONDOY,1,PLE-JPES-009-06-10-2020,10/6/20 17:00
23,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,SUCUMBIOS                                         ,,PEREA SEVILLANO FABRICIO JOSE,FABRICIO PEREA,3,PLE-JPES-009-06-10-2020,10/6/20 17:00
23,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,SUCUMBIOS                                         ,,PAREDES ANGULO VERONICA FERNANDA,VERONICA PAREDES,2,PLE-JPES-009-06-10-2020,10/6/20 17:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,ALBAN SALTOS MARCELO SEBASTIAN,MARCELO ALBAN SALTOS,11,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,SILVA HERRERA IVONE CAROLINA,IVONE SILVA HERRERA,10,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,PINARGOTE PATIÑO LIMBERT ALBERTO,LIMBERT PINARGOTE PATIÑO,15,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,ALBIÑO MONTES MABEL ROXANA,MABEL ALBIÑO MONTES,8,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,SELLAN PEÑALOZA LUCRECIA PRISCILA,LUCRECIA SELLAN PEÑALOZA,12,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,MONGE ORTEGA CESAR SANTIAGO,CESAR MONGE ORTEGA,1,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,ARIAS ARIAS NATHALIE ANDREA,NATHALIE ARIAS ARIAS,2,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,AGUIRRE SANCHEZ GIANNA MICAELA,GIANNA AGUIRRE SANCHEZ,4,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,MENDOZA MENENDEZ RUBEN DARIO,RUBEN MENDOZA MENENDEZ,5,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,RODRIGUEZ GAVILANEZ MARIA FERNANDA,MARIA FERNANDA RODRIGUEZ,6,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,LOPEZ CAJAS ANDY STEVEN,ANDY LOPEZ CAJAS,9,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,RODRIGUEZ PERALTA CARLOS FRANCISCO,CARLOS RODRIGUEZ PERALTA,13,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,PACHALA POMA LUIS ALBERTO,LUIS PACHALA POMA,3,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,BRIONES ALVARADO CARIL GUILLERMO,CARIL BRIONES ALVARADO,7,PLE-CNE-70-23-10-2020,10/23/20 0:00
24,,,ASAMBLEISTAS NACIONALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,GARCIA MURILLO CINDY KATIUSKA,CINDY GARCIA MURILLO,14,PLE-CNE-70-23-10-2020,10/23/20 0:00
26,,,PARLAMENTARIOS ANDINOS,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,BARREIRO LOOR EULICER HERNAN,HERNAN BARREIRO LOOR,2,PLE-CNE-57-16-10-2020,10/16/20 0:00
26,,,PARLAMENTARIOS ANDINOS,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,GUACHO YAUTIBUG MARIA TRANSITO,MARIA GUACHO YAUTIBUG,1,PLE-CNE-57-16-10-2020,10/16/20 0:00
26,,,PARLAMENTARIOS ANDINOS,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,CAMACHO SALAZAR ELIZABETH MERCEDES,ELIZABETH CAMACHO SALAZAR,3,PLE-CNE-57-16-10-2020,10/16/20 0:00
26,,,PARLAMENTARIOS ANDINOS,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,PONCE MORAN LUIS JAVIER,LUIS PONCE MORAN,4,PLE-CNE-57-16-10-2020,10/16/20 0:00
26,,,PARLAMENTARIOS ANDINOS,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,ECUADOR                                           ,,BAQUERIZO QUIÑONEZ MERCEDES MICHELL,MERCEDES BAQUERIZO QUIÑONEZ,5,PLE-CNE-57-16-10-2020,10/16/20 0:00
27,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 1,HIDALGO COBEÑA JUAN PABLO,JUAN PABLO HIDALGO,1,JPEG-00013-16-10-2020,10/16/20 13:00
27,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 1,TENORIO LANDAZURI JOHANNA DEL ROCIO,JOHANNA TENORIO LANDAZURI,2,JPEG-00013-16-10-2020,10/16/20 13:00
27,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 1,ESPINEL SILVA BYRON ARMANDO,BYRON ESPINEL SILVA,5,JPEG-00013-16-10-2020,10/16/20 13:00
27,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 1,JARAMILLO NEIRA LORENA NOEMI,LORENA JARAMILLO NEIRA,4,JPEG-00013-16-10-2020,10/16/20 13:00
27,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 1,CEVALLOS ARAUJO DANIEL AUGUSTO,DANIEL CEVALLOS ARAUJO,3,JPEG-00013-16-10-2020,10/16/20 13:00
28,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 2,SANTOS LOOR CAMILA,CAMILA SANTOS LOOR,4,JPEG-00014-16-10-2020,10/16/20 14:00
28,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 2,ESTACIO CABEZA VICTOR,VICTOR ESTACIO CABEZA,5,JPEG-00014-16-10-2020,10/16/20 14:00
28,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 2,LANDIVAR DE LA TORRE JAIME ROBERTO,JAIME LANDIVAR DE LA TORRE,3,JPEG-00014-16-10-2020,10/16/20 14:00
28,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 2,VELEZ MERA LIZ ALEJANDRA,LIZ VELEZ MERA,2,JPEG-00014-16-10-2020,10/16/20 14:00
28,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 2,JIMENEZ SANCHEZ FRANCISCO EDUARDO,FRANCISCO JIMENEZ SANCHEZ,1,JPEG-00014-16-10-2020,10/16/20 14:00
29,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 3,CHIRIBOGA HIGH GUIDO ALBERTO,GUIDO CHIRIBOGA,1,JPEG-00015-16-10-2020,10/16/20 14:00
29,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 3,ARREAGA FLORES DIANA MARISOL,DIANA ARREAGA,4,JPEG-00015-16-10-2020,10/16/20 14:00
29,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 3,MITE ORRALA SILVINO MIGUEL,SILVINO MITE ORRALA,3,JPEG-00015-16-10-2020,10/16/20 14:00
29,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 3,BURGOS CARRERA ARIANNA STEPHANY,ARIANNA BURGOS,2,JPEG-00015-16-10-2020,10/16/20 14:00
29,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 3,DIAZ ESPINOZA JUAN EDUARDO,JUAN DIAZ,5,JPEG-00015-16-10-2020,10/16/20 14:00
30,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 4,PAGUAY BALLADARES WASHINGTON JAVIER,WASHINGTON PAGUAY BALLADARES,2,JPEG-00016-16-10-2020,10/16/20 14:00
30,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 4,MUÑOS MAGALLANES KATHERINE NARCISA,KATHERINE MUÑOS MAGALLANES,3,JPEG-00016-16-10-2020,10/16/20 14:00
30,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 4,JURADO VILLAVICENCIO JENNIFER ALEXANDRA,JENNIFER JURADO VILLAVICENCIO,5,JPEG-00016-16-10-2020,10/16/20 14:00
30,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 4,VERA CALDERON SILVIA LORENA,SILVIA VERA CALDERON,1,JPEG-00016-16-10-2020,10/16/20 14:00
30,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,GUAYAS                                            ,CIRCUNSCRIPCIÓN 4,CARRERA BALLADARES FRANKLIN ISAAC,FRANKLIN CARRERA BALLADARES,4,JPEG-00016-16-10-2020,10/16/20 14:00
31,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,2,PARTIDO UNIDAD POPULAR,,,MANABI                                            ,CIRCUNSCRIPCIÓN 2 - SUR,VASQUEZ BRIONES ISMAEL ANTONIO,ISMAEL VASQUEZ,5,JPEM-0000010-09-10-2020,10/9/20 0:00
31,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,2,PARTIDO UNIDAD POPULAR,,,MANABI                                            ,CIRCUNSCRIPCIÓN 2 - SUR,CEVALLOS MACIAS JORGE JOSE,JORGE CEVALLOS,1,JPEM-0000010-09-10-2020,10/9/20 0:00
31,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,2,PARTIDO UNIDAD POPULAR,,,MANABI                                            ,CIRCUNSCRIPCIÓN 2 - SUR,TRIVIÑO ARTEAGA MARIA ESTELA,MARIA TRIVIÑO,4,JPEM-0000010-09-10-2020,10/9/20 0:00
31,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,2,PARTIDO UNIDAD POPULAR,,,MANABI                                            ,CIRCUNSCRIPCIÓN 2 - SUR,PILAY TEJENA ANA DEL ROCIO,ANA PILAY,2,JPEM-0000010-09-10-2020,10/9/20 0:00
31,,,ASAMBLEISTAS PROVINCIALES POR CIRCUNSCRIPCIÓN,2,PARTIDO UNIDAD POPULAR,,,MANABI                                            ,CIRCUNSCRIPCIÓN 2 - SUR,GONZALEZ SANCHEZ ANDRES WILMER,WILMER GONZALEZ,3,JPEM-0000010-09-10-2020,10/9/20 0:00
33,,,ASAMBLEISTAS PROVINCIALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,CAÑAR                                             ,,RODRIGUEZ GAVILANES CATALINA DE JESUS,CATALINA RODRIGUEZ GAVILANES,2,EG2021-JPEC-R-001-03-10-2020,10/3/20 0:00
33,,,ASAMBLEISTAS PROVINCIALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,CAÑAR                                             ,,ORMAZA CABRERA IRVING DAVID,DAVID ORMAZA CABRERA,3,EG2021-JPEC-R-001-03-10-2020,10/3/20 0:00
33,,,ASAMBLEISTAS PROVINCIALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,CAÑAR                                             ,,CASTANIER JARAMILLO XAVIER HOMERO,HOMERO CASTANIER JARAMILLO,1,EG2021-JPEC-R-001-03-10-2020,10/3/20 0:00
34,,,ASAMBLEISTAS PROVINCIALES,21,"MOVIMIENTO CREO, CREANDO OPORTUNIDADES",,,NAPO                                              ,,VILLAGOMEZ CEPEDA JOFRE WILFRIDO,WILFRIDO VILLAGOMEZ CEPEDA,1,JPEN-006-07-10-2020,10/7/20 0:00
